,Date,USD
0,0,1236.0
1,1,1220.5
2,2,1219.8
3,5,1213.5
4,6,1222.0
5,7,1217.3
6,8,1213.8
7,9,1213.8
8,12,1219.5
9,13,1216.5
10,14,1216.5
11,15,1211.8
12,16,1195.0
13,19,1195.8
14,20,1210.5
15,21,1217.0
16,22,1226.8
17,23,1219.0
18,26,1229.0
19,27,1234.8
20,28,1237.5
21,29,1237.8
22,30,1234.3
23,33,1244.5
24,34,1250.3
25,35,1243.8
26,36,1232.8
27,37,1232.8
28,40,1228.8
29,41,1229.3
30,42,1223.5
31,43,1202.0
32,44,1164.3
33,47,1167.8
34,48,1166.5
35,49,1142.0
36,50,1145.0
37,51,1154.5
38,54,1162.0
39,55,1156.5
40,56,1164.5
41,57,1161.8
42,58,1169.0
43,61,1182.5
44,62,1192.8
45,63,1196.0
46,64,1190.0
47,65,1203.8
48,68,1197.5
49,69,1199.0
50,70,1197.5
51,71,1194.8
52,72,1182.8
53,75,1194.0
54,76,1195.0
55,77,1204.8
56,78,1209.0
57,79,1194.0
58,82,1193.0
59,83,1227.0
60,84,1229.0
61,85,1216.3
62,86,1217.0
63,89,1209.3
64,90,1202.5
65,91,1195.8
66,92,1199.0
67,93,1195.5
68,96,1195.3
69,97,1175.8
70,98,1175.8
71,99,1175.8
72,100,1175.8
73,103,1185.5
74,104,1206.0
75,105,1206.0
76,106,1206.0
77,107,1172.0
78,110,1200.0
79,111,1210.3
80,112,1210.5
81,113,1215.5
82,114,1217.8
83,117,1226.5
84,118,1231.5
85,119,1235.0
86,120,1259.0
87,121,1277.5
88,124,1273.8
89,125,1288.8
90,126,1293.5
91,127,1295.8
92,128,1294.8
93,131,1281.3
94,132,1288.5
95,133,1288.0
96,134,1268.8
97,135,1260.3
98,138,1272.5
99,139,1264.3
100,140,1268.5
101,141,1259.3
102,142,1241.0
103,145,1238.5
104,146,1234.5
105,147,1223.8
106,148,1222.5
107,149,1232.5
108,152,1229.3
109,153,1209.5
110,154,1206.0
111,155,1209.5
112,156,1208.3
113,159,1204.5
114,160,1192.5
115,161,1204.8
116,162,1208.3
117,163,1214.0
118,166,1212.5
119,167,1212.8
120,168,1199.5
121,169,1202.0
122,170,1175.8
123,173,1168.5
124,174,1162.0
125,175,1150.0
126,176,1152.3
127,177,1152.0
128,180,1150.8
129,181,1150.8
130,182,1147.3
131,183,1166.0
132,184,1183.1
133,187,1186.3
134,188,1191.5
135,189,1195.6
136,190,1203.2
137,191,1195.8
138,194,1185.5
139,195,1187.0
140,196,1197.0
141,197,1198.5
142,198,1198.5
143,201,1198.5
144,202,1211.0
145,203,1207.3
146,204,1194.8
147,205,1207.4
148,208,1198.9
149,209,1194.8
150,210,1192.9
151,211,1204.4
152,212,1203.4
153,215,1196.5
154,216,1195.3
155,217,1189.3
156,218,1185.8
157,219,1183.0
158,222,1200.0
159,223,1209.0
160,224,1209.0
161,225,1180.3
162,226,1176.0
163,229,1176.0
164,230,1197.0
165,231,1194.3
166,232,1187.0
167,233,1186.0
168,236,1189.3
169,237,1191.5
170,238,1210.5
171,239,1225.0
172,240,1220.5
173,243,1223.5
174,244,1214.3
175,245,1210.5
176,246,1205.0
177,247,1204.1
178,250,1204.1
179,251,1185.4
180,252,1185.9
181,253,1185.0
182,254,1191.4
183,257,1199.9
184,258,1192.8
185,259,1190.0
186,260,1176.0
187,261,1164.6
188,264,1172.8
189,265,1177.4
190,266,1188.5
191,267,1178.5
