,Date,Mask,Bit Day 1,Bit Day 2,Bit Day 3,Bit Price,Gold Day 1,Gold Day 2,Gold Day 3,Gold Price,Gold Gain,Bit Gain,Gold 20 Days BIAS,Bit 5 Days BIAS,Gold Bull Market,Bit Bull Market,Gold Risk,Bit Risk,Org Bit Price,Org Gold Price,Bit ARIMA,Gold ARIMA
0,0,1,,,,-0.09425540649300079,,,,0.1776585673714104,,,,,,,,,468.174011,1236.0,,
1,1,1,,,,-0.13421601201006617,,,,0.07983591038182425,-0.512087912087911,-0.3197175929781857,,,,,,,456.859985,1220.5,,
2,2,1,,,,-0.23673092008692476,,,,0.07541811296939027,-0.18681318681318676,-0.5822170669148612,,,,,,,427.834991,1219.8,,
3,3,0,,,,-0.2527624572605678,,,,0.07541811296939027,-0.17142857142857038,-0.2193029517000899,,,,,,,423.29599,1219.8,,
4,4,0,,,,-0.2911547662553917,,,,0.07541811296939027,-0.17142857142857038,-0.313136478726747,,-0.534318229514108,,,,,412.425995,1219.8,,
5,5,1,,,,-0.31061586136027186,,,,0.03565793625749425,-0.30989010989010785,-0.23369456212408185,,-0.4694861767669218,,,,,406.915985,1213.5,,
6,6,1,,,,-0.18826540760932753,,,,0.08930261912275128,0.01538461538461644,0.3613957106387985,,-0.0628898849564429,,,,,441.557007,1222.0,423.9960760165213,
7,7,1,,,,-0.20749691518803193,,,,0.059640265067844034,-0.2747252747252747,-0.2327311335128214,,-0.1402459712752218,,,,,436.112,1217.3,463.4323057579811,
8,8,1,,,,-0.2519713033711197,,,,0.03755127800567948,-0.2483516483516473,-0.3386589851256371,,-0.2764782492109346,,,,,423.519989,1213.8,468.0731466792509,1218.6388569876226
9,9,1,,,,-0.28228252561049394,,,,0.03755127800567948,-0.17142857142857038,-0.27922544566687824,,-0.37428023028835916,,,,,414.937988,1213.8,426.91509625234426,1201.618499109307
10,10,0,,,,-0.31165071999113336,,,,0.03755127800567948,-0.17142857142857038,-0.2752681748366437,,-0.46320148875380196,,,,,406.622986,1213.8,389.7800069823268,1201.618499109307
11,11,0,,,,-0.3314508048593672,,,,0.03755127800567948,-0.17142857142857038,-0.23511708033480272,,-0.43949313102214105,,,,,401.016998,1213.8,410.68115061290246,1201.618499109307
12,12,1,,,,-0.3872768468750145,,,,0.07352477122120504,-0.0461538461538441,-0.3862944480342021,,-0.5070433212858034,,,,,385.210999,1219.5,426.791664191312,1219.1438387472124
13,13,1,,,,-0.366911638967065,,,,0.05459135373935009,-0.2373626373626363,-0.06656962967491069,,-0.37052557574040856,,,,,390.97699,1216.5,397.1059360546871,1222.9779815298953
14,14,1,,,,-0.36549176569624997,,,,0.05459135373935009,-0.17142857142857038,-0.1460708018132863,,-0.31254266904058914,,,,,391.378998,1216.5,400.6341565137951,1212.3118661517772
15,15,1,,,,-0.38626667306209117,,,,0.024928999684442843,-0.2747252747252747,-0.23920777245880173,,-0.33238157598511486,,,,,385.497009,1211.8,400.6341565137951,1214.24201938193
16,16,1,,,,-0.4138229756696117,,,,-0.08109813821394773,-0.5406593406593386,-0.267664850719661,,-0.37027928946794997,,,,,377.695007,1195.0,400.6341565137951,1219.994243354263
17,17,0,,,,-0.4604730326337405,,,,-0.08109813821394773,-0.17142857142857038,-0.34778884329866755,,-0.47982919162639276,,,,,364.487,1195.0,400.6341565137951,1219.994243354263
