Date,High
2014/9/17,468.174011
2014/9/18,456.859985
2014/9/19,427.834991
2014/9/20,423.29599
2014/9/21,412.425995
2014/9/22,406.915985
2014/9/23,441.557007
2014/9/24,436.112
2014/9/25,423.519989
2014/9/26,414.937988
2014/9/27,406.622986
2014/9/28,401.016998
2014/9/29,385.210999
2014/9/30,390.97699
2014/10/1,391.378998
2014/10/2,385.497009
2014/10/3,377.695007
2014/10/4,364.487
2014/10/5,341.800995
2014/10/6,345.134003
2014/10/7,339.247009
2014/10/8,354.364014
2014/10/9,382.726013
2014/10/10,375.066986
2014/10/11,367.19101
2014/10/12,379.433014
2014/10/13,397.226013
2014/10/14,411.697998
2014/10/15,402.22699
2014/10/16,398.807007
2014/10/17,385.477997
2014/10/18,395.15799
2014/10/19,393.938995
2014/10/20,390.084015
2014/10/21,392.645996
2014/10/22,388.575989
2014/10/23,385.048004
2014/10/24,364.345001
2014/10/25,359.860992
2014/10/26,359.221008
2014/10/27,358.631989
2014/10/28,359.984009
2014/10/29,357.833008
2014/10/30,350.912994
2014/10/31,348.045013
2014/11/1,340.528992
2014/11/2,329.049988
2014/11/3,334.002014
2014/11/4,331.766998
2014/11/5,343.368988
2014/11/6,352.966003
2014/11/7,352.731995
2014/11/8,347.032013
2014/11/9,363.626007
2014/11/10,374.81601
2014/11/11,371.309998
2014/11/12,429.717987
2014/11/13,457.092987
2014/11/14,419.252014
2014/11/15,405.528015
2014/11/16,390.799011
2014/11/17,410.199005
2014/11/18,392.402008
2014/11/19,386.480988
2014/11/20,382.024994
2014/11/21,357.878998
2014/11/22,364.841003
2014/11/23,370.845001
2014/11/24,387.209015
2014/11/25,394.700989
2014/11/26,377.697998
2014/11/27,373.992004
2014/11/28,382.838013
2014/11/29,387.601013
2014/11/30,382.527008
2014/12/1,383.661987
2014/12/2,384.037994
2014/12/3,383.026001
2014/12/4,378.654999
2014/12/5,379.191986
2014/12/6,378.447998
2014/12/7,376.291992
2014/12/8,376.028992
2014/12/9,363.066986
2014/12/10,352.384003
2014/12/11,361.356995
2014/12/12,352.983002
2014/12/13,352.381012
2014/12/14,353.31601
2014/12/15,351.815002
2014/12/16,345.859009
2014/12/17,333.95401
2014/12/18,323.709015
2014/12/19,318.53299
2014/12/20,330.325012
2014/12/21,329.628998
2014/12/22,334.117004
2014/12/23,336.286987
2014/12/24,334.740997
2014/12/25,322.670013
2014/12/26,331.424011
2014/12/27,328.911011
2014/12/28,320.028015
2014/12/29,320.266998
2014/12/30,314.80899
2014/12/31,320.192993
2015/1/1,320.434998
2015/1/2,315.838989
2015/1/3,315.149994
2015/1/4,287.230011
2015/1/5,278.341003
2015/1/6,287.553009
2015/1/7,298.753998
2015/1/8,294.13501
2015/1/9,291.114014
2015/1/10,288.127014
2015/1/11,279.638
2015/1/12,272.203003
2015/1/13,268.277008
2015/1/14,223.893997
2015/1/15,229.067001
2015/1/16,221.591003
2015/1/17,211.731003
2015/1/18,218.695007
2015/1/19,216.727997
2015/1/20,215.240997
2015/1/21,227.787994
2015/1/22,237.018997
2015/1/23,234.845001
2015/1/24,248.210007
2015/1/25,255.074005
2015/1/26,309.384003
2015/1/27,275.480011
2015/1/28,266.535004
2015/1/29,238.705994
2015/1/30,242.850998
2015/1/31,233.503998
2015/2/1,231.574005
2015/2/2,242.175003
2015/2/3,245.957001
2015/2/4,230.057999
2015/2/5,239.404999
2015/2/6,230.509995
2015/2/7,230.298996
2015/2/8,229.438004
2015/2/9,223.977005
2015/2/10,221.807007
2015/2/11,223.406006
2015/2/12,222.199005
2015/2/13,240.259003
2015/2/14,259.808014
2015/2/15,265.610992
2015/2/16,239.520996
2015/2/17,245.774994
2015/2/18,244.251007
2015/2/19,242.671997
2015/2/20,247.100998
2015/2/21,255.320007
2015/2/22,246.391998
2015/2/23,240.108994
2015/2/24,239.901001
2015/2/25,239.339996
2015/2/26,237.710007
2015/2/27,256.653015
2015/2/28,254.692001
2015/3/1,261.660004
2015/3/2,276.300995
2015/3/3,285.79599
2015/3/4,284.225006
2015/3/5,281.666992
2015/3/6,277.608002
2015/3/7,277.854004
2015/3/8,277.858002
2015/3/9,292.700989
2015/3/10,300.044006
2015/3/11,297.390991
2015/3/12,297.088013
2015/3/13,294.497986
2015/3/14,286.34201
2015/3/15,286.528992
2015/3/16,294.112
2015/3/17,292.36499
2015/3/18,285.335999
2015/3/19,264.243988
2015/3/20,264.847992
2015/3/21,262.196014
2015/3/22,269.747009
2015/3/23,277.296997
2015/3/24,267.002991
2015/3/25,249.190002
2015/3/26,254.354004
2015/3/27,256.811005
2015/3/28,254.205002
2015/3/29,253.139008
2015/3/30,249.242004
2015/3/31,248.729996
2015/4/1,247.541
2015/4/2,254.460999
2015/4/3,256.042999
2015/4/4,255.257996
2015/4/5,260.674988
2015/4/6,261.798004
2015/4/7,255.804993
2015/4/8,253.847
2015/4/9,246.117996
2015/4/10,243.694
2015/4/11,239.537003
2015/4/12,237.727997
2015/4/13,236.934998
2015/4/14,224.975998
2015/4/15,223.832993
2015/4/16,229.671997
2015/4/17,228.906006
2015/4/18,224.315994
2015/4/19,226.352997
2015/4/20,226.350998
2015/4/21,235.268997
2015/4/22,237.908997
2015/4/23,236.475006
2015/4/24,236.304993
2015/4/25,232.561005
2015/4/26,226.944
2015/4/27,233.304993
2015/4/28,229.494995
2015/4/29,227.039993
2015/4/30,239.563004
2015/5/1,238.966003
2015/5/2,235.727005
2015/5/3,243.240005
2015/5/4,242.638
2015/5/5,239.203995
2015/5/6,236.453995
2015/5/7,239.104996
2015/5/8,246.274994
2015/5/9,247.804001
2015/5/10,244.067993
2015/5/11,244.270004
2015/5/12,242.880997
2015/5/13,243.703995
2015/5/14,237.798996
2015/5/15,238.753006
2015/5/16,237.697006
2015/5/17,238.024994
2015/5/18,237.210007
2015/5/19,234.151001
2015/5/20,234.682999
2015/5/21,236.242004
2015/5/22,240.968994
2015/5/23,241.024994
2015/5/24,241.977997
2015/5/25,241.020996
2015/5/26,238.242004
2015/5/27,238.636002
2015/5/28,237.824005
2015/5/29,237.522003
2015/5/30,237.093002
2015/5/31,233.251999
2015/6/1,231.712997
2015/6/2,226.416
2015/6/3,227.404007
2015/6/4,226.580994
2015/6/5,225.968002
2015/6/6,225.718994
2015/6/7,226.194
2015/6/8,229.464005
2015/6/9,230.953995
2015/6/10,229.781998
2015/6/11,230.287003
