Date,USD
2014/9/17,"1,236.00"
2014/9/18,"1,220.50"
2014/9/19,"1,219.80"
2014/9/22,"1,213.50"
2014/9/23,"1,222.00"
2014/9/24,"1,217.30"
2014/9/25,"1,213.80"
2014/9/26,"1,213.80"
2014/9/29,"1,219.50"
2014/9/30,"1,216.50"
2014/10/1,"1,216.50"
2014/10/2,"1,211.80"
2014/10/3,"1,195.00"
2014/10/6,"1,195.80"
2014/10/7,"1,210.50"
2014/10/8,"1,217.00"
2014/10/9,"1,226.80"
2014/10/10,"1,219.00"
2014/10/13,"1,229.00"
2014/10/14,"1,234.80"
2014/10/15,"1,237.50"
2014/10/16,"1,237.80"
2014/10/17,"1,234.30"
2014/10/20,"1,244.50"
2014/10/21,"1,250.30"
2014/10/22,"1,243.80"
2014/10/23,"1,232.80"
2014/10/24,"1,232.80"
2014/10/27,"1,228.80"
2014/10/28,"1,229.30"
2014/10/29,"1,223.50"
2014/10/30,"1,202.00"
2014/10/31,"1,164.30"
2014/11/3,"1,167.80"
2014/11/4,"1,166.50"
2014/11/5,"1,142.00"
2014/11/6,"1,145.00"
2014/11/7,"1,154.50"
2014/11/10,"1,162.00"
2014/11/11,"1,156.50"
2014/11/12,"1,164.50"
2014/11/13,"1,161.80"
2014/11/14,"1,169.00"
2014/11/17,"1,182.50"
2014/11/18,"1,192.80"
2014/11/19,"1,196.00"
2014/11/20,"1,190.00"
2014/11/21,"1,203.80"
2014/11/24,"1,197.50"
2014/11/25,"1,199.00"
2014/11/26,"1,197.50"
2014/11/27,"1,194.80"
2014/11/28,"1,182.80"
2014/12/1,"1,194.00"
2014/12/2,"1,195.00"
2014/12/3,"1,204.80"
2014/12/4,"1,209.00"
2014/12/5,"1,194.00"
2014/12/8,"1,193.00"
2014/12/9,"1,227.00"
2014/12/10,"1,229.00"
2014/12/11,"1,216.30"
2014/12/12,"1,217.00"
2014/12/15,"1,209.30"
2014/12/16,"1,202.50"
2014/12/17,"1,195.80"
2014/12/18,"1,199.00"
2014/12/19,"1,195.50"
2014/12/22,"1,195.30"
2014/12/23,"1,175.80"
2014/12/24,"1,175.80"
2014/12/25,"1,175.80"
2014/12/26,"1,175.80"
2014/12/29,"1,185.50"
2014/12/30,"1,206.00"
2014/12/31,"1,206.00"
2015/1/1,"1,206.00"
2015/1/2,"1,172.00"
2015/1/5,"1,200.00"
2015/1/6,"1,210.30"
2015/1/7,"1,210.50"
2015/1/8,"1,215.50"
2015/1/9,"1,217.80"
2015/1/12,"1,226.50"
2015/1/13,"1,231.50"
2015/1/14,"1,235.00"
2015/1/15,"1,259.00"
2015/1/16,"1,277.50"
2015/1/19,"1,273.80"
2015/1/20,"1,288.80"
2015/1/21,"1,293.50"
2015/1/22,"1,295.80"
2015/1/23,"1,294.80"
2015/1/26,"1,281.30"
2015/1/27,"1,288.50"
2015/1/28,"1,288.00"
2015/1/29,"1,268.80"
2015/1/30,"1,260.30"
2015/2/2,"1,272.50"
2015/2/3,"1,264.30"
2015/2/4,"1,268.50"
2015/2/5,"1,259.30"
2015/2/6,"1,241.00"
2015/2/9,"1,238.50"
2015/2/10,"1,234.50"
2015/2/11,"1,223.80"
2015/2/12,"1,222.50"
2015/2/13,"1,232.50"
2015/2/16,"1,229.30"
2015/2/17,"1,209.50"
2015/2/18,"1,206.00"
2015/2/19,"1,209.50"
2015/2/20,"1,208.30"
2015/2/23,"1,204.50"
2015/2/24,"1,192.50"
2015/2/25,"1,204.80"
2015/2/26,"1,208.30"
2015/2/27,"1,214.00"
2015/3/2,"1,212.50"
2015/3/3,"1,212.80"
2015/3/4,"1,199.50"
2015/3/5,"1,202.00"
2015/3/6,"1,175.80"
2015/3/9,"1,168.50"
2015/3/10,"1,162.00"
2015/3/11,"1,150.00"
2015/3/12,"1,152.30"
2015/3/13,"1,152.00"
2015/3/16,"1,150.80"
2015/3/17,"1,150.80"
2015/3/18,"1,147.30"
2015/3/19,"1,166.00"
2015/3/20,"1,183.10"
2015/3/23,"1,186.30"
2015/3/24,"1,191.50"
2015/3/25,"1,195.60"
2015/3/26,"1,203.20"
2015/3/27,"1,195.80"
2015/3/30,"1,185.50"
2015/3/31,"1,187.00"
2015/4/1,"1,197.00"
2015/4/2,"1,198.50"
2015/4/3,"1,198.50"
2015/4/6,"1,198.50"
2015/4/7,"1,211.00"
2015/4/8,"1,207.30"
2015/4/9,"1,194.80"
2015/4/10,"1,207.40"
2015/4/13,"1,198.90"
2015/4/14,"1,194.80"
2015/4/15,"1,192.90"
2015/4/16,"1,204.40"
2015/4/17,"1,203.40"
2015/4/20,"1,196.50"
2015/4/21,"1,195.30"
2015/4/22,"1,189.30"
2015/4/23,"1,185.80"
2015/4/24,"1,183.00"
2015/4/27,"1,200.00"
2015/4/28,"1,209.00"
2015/4/29,"1,209.00"
2015/4/30,"1,180.30"
2015/5/1,"1,176.00"
2015/5/4,"1,176.00"
2015/5/5,"1,197.00"
2015/5/6,"1,194.30"
2015/5/7,"1,187.00"
2015/5/8,"1,186.00"
2015/5/11,"1,189.30"
2015/5/12,"1,191.50"
2015/5/13,"1,210.50"
2015/5/14,"1,225.00"
2015/5/15,"1,220.50"
2015/5/18,"1,223.50"
2015/5/19,"1,214.30"
2015/5/20,"1,210.50"
2015/5/21,"1,205.00"
2015/5/22,"1,204.10"
2015/5/25,"1,204.10"
2015/5/26,"1,185.40"
2015/5/27,"1,185.90"
2015/5/28,"1,185.00"
2015/5/29,"1,191.40"
2015/6/1,"1,199.90"
2015/6/2,"1,192.80"
2015/6/3,"1,190.00"
2015/6/4,"1,176.00"
2015/6/5,"1,164.60"
2015/6/8,"1,172.80"
2015/6/9,"1,177.40"
2015/6/10,"1,188.50"
2015/6/11,"1,178.50"
2015/6/12,"1,182.80"
2015/6/15,"1,181.40"
2015/6/16,"1,177.80"
2015/6/17,"1,178.00"
2015/6/18,"1,201.90"
2015/6/19,"1,203.40"
2015/6/22,"1,185.50"
2015/6/23,"1,178.00"
2015/6/24,"1,173.80"
2015/6/25,"1,172.70"
2015/6/26,"1,170.50"
2015/6/29,"1,176.00"
2015/6/30,"1,171.00"
2015/7/1,"1,168.00"
2015/7/2,"1,165.30"
2015/7/3,"1,168.00"
2015/7/6,"1,166.00"
2015/7/7,"1,156.30"
2015/7/8,"1,158.50"
2015/7/9,"1,164.30"
2015/7/10,"1,159.30"
2015/7/13,"1,154.00"
